area,month,orientation,inclination,c1
H2a,Novembre,Sud,<25°,0.83
H2a,Novembre,Ouest,>=75°,0.46
H2a,Novembre,Ouest,75°> >=25°,0.97
H2a,Novembre,Ouest,<25°,0.57
H2a,Novembre,Nord,>=75°,0.32
H2a,Novembre,Nord,75°> >=25°,0.68
H2a,Novembre,Nord,<25°,0.57
H2a,Novembre,Est,>=75°,0.46
H2a,Novembre,Est,75°> >=25°,0.97
H2a,Novembre,Est,<25°,0.69
H2a,Novembre,Horizontal,,1.02
H2a,Décembre,Sud,>=75°,1
H2a,Décembre,Sud,75°> >=25°,1.59
H2a,Décembre,Sud,<25°,0.66
H2a,Décembre,Ouest,>=75°,0.38
H2a,Décembre,Ouest,75°> >=25°,0.77
H2a,Décembre,Ouest,<25°,0.4
H2a,Décembre,Nord,>=75°,0.24
H2a,Décembre,Nord,75°> >=25°,0.5
H2a,Décembre,Nord,<25°,0.4
H2a,Décembre,Est,>=75°,0.34
H2a,Décembre,Est,75°> >=25°,0.72
H2a,Décembre,Est,<25°,0.51
H2a,Décembre,Horizontal,,0.86
H2b,Janvier,Sud,>=75°,1
H2b,Janvier,Sud,75°> >=25°,1.67
H2b,Janvier,Sud,<25°,0.75
H2b,Janvier,Ouest,>=75°,0.41
H2b,Janvier,Ouest,75°> >=25°,0.87
H2b,Janvier,Ouest,<25°,0.61
H2b,Janvier,Nord,>=75°,0.26
H2b,Janvier,Nord,75°> >=25°,0.55
H2b,Janvier,Nord,<25°,0.47
H2b,Janvier,Est,>=75°,0.39
H2b,Janvier,Est,75°> >=25°,0.83
H2b,Janvier,Est,<25°,0.6
H2b,Janvier,Horizontal,,0.59
H2b,Février,Sud,>=75°,1
H2b,Février,Sud,75°> >=25°,1.82
H2b,Février,Sud,<25°,0.93
H2b,Février,Ouest,>=75°,0.49
H2b,Février,Ouest,75°> >=25°,1.06
H2b,Février,Ouest,<25°,0.79
