inertie,altitude,month,zone_climatique,E-pv(kWh/m²),Text(°C),E(kWh/m²),Nref(19°C),DH19(°Ch),DH14(°Ch),Nref(21°C),DH21(°Ch),Tefs(°C),Textmoy_clim(°C)Tcons=26°C,Textmoy_clim(°C)Tcons=28°C,E_fr(kWh/m²)Tcons=26°C,E_fr(kWh/m²)Tcons=28°C,Nref(26°C),Nref(28°C),DH26(°Ch),DH28(°Ch)
Légère ou Moyenne,400,Avril,H1c,178.3,11.6,86.83,640,5072.2,2436,680,6396.5,9,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Mai,H1c,185,16.6,81.59,499,2340.3,613.4,582,3424.8,14.1,27.7,30.5,14.82,3.08,73,8,73,20.1
Légère ou Moyenne,400,Juin,H1c,228.2,14.7,11.4,71,410,119,86,567.2,15.7,28.9,30,19.42,11.8,211,46,211,89.8
Légère ou Moyenne,400,Juillet,H1c,236.7,0,0,0,0,0,0,0,18.2,28.8,30.2,40.66,25.12,438,88,438.1,191.5
Légère ou Moyenne,400,Août,H1c,211.5,0,0,0,0,0,0,0,18.8,29,30.2,47.08,32.34,436,91,436.1,202.8
Légère ou Moyenne,400,Septembre,H1c,166.7,0,0,0,0,0,0,0,18,27.4,28.9,13.6,3.05,52,9,51.8,8.3
Légère ou Moyenne,400,Octobre,H1c,100.3,12,39.01,396,3330.7,1762.7,428,4156.7,15.8,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Novembre,H1c,62.7,7.6,45.76,717,7720,4669.4,718,9154.2,11.3,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Décembre,H1c,43.5,3.2,33.59,744,10884.4,8016.4,744,12372.4,7.3,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Janvier,H1c,61.5,3.8,47.86,741,10855.3,7640.7,744,12341.2,6.1,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Février,H1c,81.3,3.9,55.9,672,9690.3,6768.8,672,11034.3,4.4,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Mars,H1c,149.7,8.5,91.2,730,7369.8,4277.2,743,8843.1,8.5,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Avril,H1c,178.3,11.6,86.83,640,5072.2,2436,680,6396.5,9,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Mai,H1c,185,15.5,41.69,324,1543.9,391.5,373,2243.2,14.1,27.7,30.5,14.82,3.08,73,8,73,20.1
Lourde ou Très lourde,400,Juin,H1c,228.2,0,0,0,0,0,0,0,15.7,28.9,30,19.42,11.8,211,46,211,89.8
Lourde ou Très lourde,400,Juillet,H1c,236.7,0,0,0,0,0,0,0,18.2,28.8,30.2,40.66,25.12,438,88,438.1,191.5
Lourde ou Très lourde,400,Août,H1c,211.5,0,0,0,0,0,0,0,18.8,29,30.2,47.08,32.34,436,91,436.1,202.8
Lourde ou Très lourde,400,Septembre,H1c,166.7,0,0,0,0,0,0,0,18,27.4,28.9,13.6,3.05,52,9,51.8,8.3
Lourde ou Très lourde,400,Octobre,H1c,100.3,5.5,13.39,144,1865.2,1229.2,144,2153.2,15.8,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Novembre,H1c,62.7,7.6,45.76,717,7720,4669.4,718,9154.2,11.3,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Décembre,H1c,43.5,3.2,33.59,744,10884.4,8016.4,744,12372.4,7.3,0,0,0,0,0,0,0,0
Légère ou Moyenne,800,Janvier,H1c,61.5,1.8,47.86,744,12341.2,9115.3,744,13829.2,4.1,0,0,0,0,0,0,0,0
Légère ou Moyenne,800,Février,H1c,81.3,1.9,55.9,672,11034.3,8106.3,672,12378.3,2.4,0,0,0,0,0,0,0,0
Légère ou Moyenne,800,Mars,H1c,149.7,6.5,91.2,743,8843.1,5638.5,744,10330.9,6.5,0,0,0,0,0,0,0,0
Légère ou Moyenne,800,Avril,H1c,178.3,9.6,86.83,680,6396.5,3536.6,711,7787,7,0,0,0,0,0,0,0,0
Légère ou Moyenne,800,Mai,H1c,185,14.6,81.59,582,3424.8,1223.4,632,4637.2,12.1,29.3,29.3,3.08,0,8,5,73,20.1
Légère ou Moyenne,800,Juin,H1c,228.2,14.2,68.95,375,2088.6,622.2,413,2878.9,13.7,29.5,29.5,11.8,4.61,46,19,211,89.8
Légère ou Moyenne,800,Juillet,H1c,236.7,0,0,0,0,0,0,0,16.2,29.2,29.2,25.12,14.28,88,46,438.1,191.5
Légère ou Moyenne,800,Août,H1c,211.5,0,0,0,0,0,0,0,16.8,29.4,29.4,32.34,17.37,91,46,436.1,202.8
Légère ou Moyenne,800,Septembre,H1c,166.7,15,41.47,250,1398.1,412.9,285,1928.1,16,0,0,3.05,0,9,0,51.8,8.3
Légère ou Moyenne,800,Octobre,H1c,100.3,11.5,66.87,652,5280.4,2720.9,697,6634.5,13.8,0,0,0,0,0,0,0,0
